Reference number,Company Payment Type,Delivering City,Shipment Details,Cash on Delivery,Exp Delivery Fees,Shipment Status,Creation Date,Perfume_Count
1286F,الدفع بعد الوصول,Amman,سوفاج ١٠٠/واي١٠٠/ليجند٥٠/ ارماني كود ٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
1287F,الدفع بعد الوصول,Irbid,ايفوريا ستاتي١٠٠/جريس ديور ١٠٠// بوس ستاتي٥٠/ نرسيسو مسك ٥٠,34,1٫75,yes,8/14/2024 12:50:03 AM,4
1288F,الدفع بعد الوصول,Amman,خمرة ١٠٠/ امبر ليذر ١٠٠/سوفاج ٥٠/ جنتل مان جفنشي ,34,1٫5,yes,8/14/2024 12:50:03 AM,4
1289F,الدفع بعد الوصول,Amman,سبايس بومب اكستريم ٥٠,0,1٫5,yes,8/14/2024 12:50:03 AM,1
12810F,الدفع بعد الوصول,Amman,بكرات روج ١٠٠/دي مارلي ديلينا ١٠٠./ توباكو فانيلا ٥٠ عدد٢,34,1٫5,yes,8/14/2024 12:50:03 AM,4
12811F,الدفع بعد الوصول,Rumtha,ايماجنيشن ١٠٩/ يو فريز ١٠٠/ دي مارلي الثائر ١٠٠,34,1٫75,yes,8/14/2024 12:50:03 AM,3
12812F,الدفع بعد الوصول,Amman,سوفاج ١٠٠/ كريد افنتوس١٠٠/ يو ٥٠/ بلو شانيل ٥٠,34,1٫5,No,8/14/2024 12:50:03 AM,4
12813F,الدفع بعد الوصول,Karak,كول واتر رجالي ١٠٠,0,1٫75,yes,8/14/2024 12:50:03 AM,1
12814F,الدفع بعد الوصول,Amman,بويزن ١٠٠,19,1٫5,yes,8/14/2024 12:50:03 AM,1
12815F,الدفع بعد الوصول,Madaba,هشيفات ٥٠,0,1٫75,yes,8/14/2024 12:50:03 AM,1
12816F,الدفع بعد الوصول,Amman,ليل ملكي ١٠٠/ ايفوريا رجالي١٠٠/سي اجمر ٥٠/كريستال نوار٥٠,34,1٫5,No,8/14/2024 12:50:03 AM,4
12817F,الدفع بعد الوصول,Amman,سكاندل ستاتي ١٠٠/ ليبر ٥٠/يو انتنسلي١٠٠/ارماني كود ٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
12818F,الدفع بعد الوصول,Salt,مونت بلانك يتار ووكر ١٠٠ عدد٢/ مونت بلانك ستار ووكر ٥٠ عدد٢,17,1٫75,yes,8/14/2024 12:50:03 AM,4
12819F,الدفع بعد الوصول,Jarash,فيري سكسي ١٠٠/ انفكتوس١٠٠/ ارماني كود ٥٠/ ليبر ٥٠,34,1٫75,yes,8/14/2024 12:50:03 AM,4
a12820F,الدفع بعد الوصول,Irbid,واي ١٠٠ عدد٢/ امبر ليذر ٥٠/سوفاج ٥٠,34,1٫75,yes,8/14/2024 12:50:03 AM,4
12821F,الدفع بعد الوصول,Amman,انتيرنتي رجالي ٥٠,10,1٫5,No,8/14/2024 12:50:03 AM,1
12822F,الدفع بعد الوصول,Amman,بربري هير ١٠٠/ فيري سكسي ١٠٠/يو ستاتي٥٠/ ديلينا ٥٠,0,1٫5,yes,8/14/2024 12:50:03 AM,4
12823F,الدفع بعد الوصول,South Aghwar,لوسيل ١٠٠ + ٥٠ / بس دلشص ١٠٠ + ٥٠/لوسيل ٥٠/ رح يوصل عبوه ونعرف شو واصل الزبون,34,1٫75,No,8/14/2024 12:50:03 AM,5
12824F,الدفع بعد الوصول,Amman,كريد وايت ١٠٠/ فهرنهايت ١٠٠/سبايس بومب ٥٠/ سي اتش رجالي ٦٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
12825F,الدفع بعد الوصول,Amman,هابي كلنك ١٠٠/فانتوم باكربون ١٠٠/جيو بروفندو ٥٠/سوفاج الكسير ٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
12826F,الدفع بعد الوصول,Amman,ايروس١٠٠,0,1٫5,yes,8/14/2024 12:50:03 AM,1
12827F,الدفع بعد الوصول,Amman,مانسيرا ريد توباكو ١٠٠/ مونت بلانك اكسبلور ٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,2
12828F,الدفع بعد الوصول,Amman,سوفاج ١٠٠,17,1٫5,yes,8/14/2024 12:50:03 AM,1
12829F,الدفع بعد الوصول,Karak,واي ١٠٠/ جيو بروفومو١٠٠/امبر ليذر ٥٠/ ديلان بلو ٥٠,34,1٫75,No,8/14/2024 12:50:03 AM,4
12831F,الدفع بعد الوصول,Amman,ديور هوم انتنس١٠٠/ بكرات روج ٥٠,0,1٫5,No,8/14/2024 12:50:03 AM,2
12832F,الدفع بعد الوصول,Irbid,لافي بيل ١٠٠/اسكادا اسبشيلي ١٠٠/ليبر انتنس ٥٠/ فيري سكسي ٥٠,34,1٫75,yes,8/14/2024 12:50:03 AM,4
12833F,الدفع بعد الوصول,Amman,سوفاج ١٠٠/ كريد افنتوس١٠٩/يو ٥٠/ ايروس٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
12834F,الدفع بعد الوصول,Amman,ارماني كود ١٠٠/ ايروس١٠٠/الترا ميل ٥٠/ ذا كنج ٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
12835F,الدفع بعد الوصول,Amman,فلانتينو اومو رجالي ١٠٠/انفكتوس١٠٠/ برادا ميلانو٥٠/جادور ٥٠,34,1٫5,yes,8/14/2024 12:50:03 AM,4
1281w,الدفع بعد الوصول,Amman,100مل بلو شانيل ,0,1٫5,yes,8/14/2024 12:55:13 AM,1
1283w,الدفع بعد الوصول,Russeifa,50مل اكوا دي جيو بروفومو ,10,1٫75,yes,8/14/2024 12:55:13 AM,1
1285w,الدفع بعد الوصول,Amman,100مل 212 ستاتي +100مل مونت بلانك +50مل 212 ستاتي +50 مونت بلانك ,34,1٫5,No,8/14/2024 12:55:13 AM,4
1286w,الدفع بعد الوصول,Petra ,100مل ارماني كود ,17,1٫75,yes,8/14/2024 12:55:13 AM,1
1287w,الدفع بعد الوصول,Mafraq,100مل مكس هوجو ريد +سوفاج +100مل مكس بلو شانيل +هوجو بوس ,0,1٫75,yes,8/14/2024 12:55:13 AM,4
1288w,الدفع بعد الوصول,Amman,100مل اكوا دي جيو بروفومو ,17,1٫5,yes,8/14/2024 12:55:13 AM,1
1289w,الدفع بعد الوصول,Amman,100مل دولتشي غابانا ذا ون سبورت +100مل ck+٥٠مل بولو ريد +50مل ون مليون ,34,1٫5,yes,8/14/2024 12:55:13 AM,4
12810w,الدفع بعد الوصول,Amman,100مل نيشان +100مل ديور هوم انتنس +100مل جان بول لو بيل انتنس ,34,1٫5,yes,8/14/2024 12:55:13 AM,3
12811w,الدفع بعد الوصول,Amman,100مل ايروس ,0,1٫5,yes,8/14/2024 12:55:13 AM,1
12812w,الدفع بعد الوصول,Amman,100مل سترونجر ويذ يو +100مل بويزن +50مل بربري هيرو عدد 2 ,34,1٫5,No,8/14/2024 12:55:13 AM,4
12813w,الدفع بعد الوصول,Amman,100مل ايروس +100مل بويزن +50مل جوي ديور +50مل ارماني برايف,34,1٫5,yes,8/14/2024 12:55:13 AM,4
12814w,الدفع بعد الوصول,Amman,100مل جود جيرل بلش ,0,1٫5,yes,8/14/2024 12:55:13 AM,1
12815w,الدفع بعد الوصول,Amman,100مل فكتوريا سيكرت بومبشل +50مل فكتوريا سيكرت بومبشل ,0,1٫5,yes,8/14/2024 12:55:14 AM,2
12816w,الدفع بعد الوصول,Amman,100مل دولتشي غابانا فلورا +100مل غوتشي فلورا +100مل كلافن كلاي ,34,1٫5,yes,8/14/2024 12:55:14 AM,3
12818w,الدفع بعد الوصول,Amman,50مل اف سان لوران واي بلاك +50مل مس ديور ,0,1٫5,No,8/14/2024 12:55:14 AM,2
12819w,الدفع بعد الوصول,Amman,100مل انفكتوس جولوجن +100مل يو +50مل انفكتوس جولوجن +50مل يو ,34,1٫5,yes,8/14/2024 12:55:14 AM,4
12820w,الدفع بعد الوصول,Irbid,100مل فيندي+100مل بلو شانيل +50مل التراميل +50مل اف سان لوران واي ,34,1٫75,yes,8/14/2024 12:55:14 AM,4
RTN12814w,الدفع بعد الوصول,Amman,100مل جود جيرل بلش ,0,1٫5,No,8/14/2024 10:37:44 AM,1
RTN1281w,الدفع بعد الوصول,Amman,100مل بلو شانيل ,0,1٫5,No,8/14/2024 11:29:04 AM,1
RTN1287w,الدفع بعد الوصول,Mafraq,100مل مكس هوجو ريد +سوفاج +100مل مكس بلو شانيل +هوجو بوس ,0,1٫75,No,8/14/2024 12:56:25 PM,4
RTN12826F,الدفع بعد الوصول,Amman,ايروس١٠٠,0,1٫5,No,8/14/2024 2:24:59 PM,1
RTN12811w,الدفع بعد الوصول,Amman,100مل ايروس ,0,1٫5,No,8/14/2024 3:16:04 PM,1
RTN1289F,الدفع بعد الوصول,Amman,سبايس بومب اكستريم ٥٠,0,1٫5,No,8/14/2024 4:10:12 PM,1
RTN12818F,الدفع بعد الوصول,Salt,مونت بلانك يتار ووكر ١٠٠ عدد٢/ مونت بلانك ستار ووكر ٥٠ عدد٢,18٫75,1٫75,No,8/14/2024 4:13:00 PM,4
RTN12813F,الدفع بعد الوصول,Karak,كول واتر رجالي ١٠٠,0,1٫75,No,8/14/2024 6:03:48 PM,1
RTN1281F,الدفع بعد الوصول,Zarqa,سوفاج ١٠٠/ بلو شانيل ١٠٠/بلو شانيل ٥٠ / ارماني كود ٥٠,0,1٫75,No,8/14/2024 6:13:49 PM,4
RTN1187F,الدفع بعد الوصول,Amman,الور سنشوبا ستاتي ١٠٠,0,1٫5,No,8/14/2024 7:12:23 PM,1
1382F,الدفع بعد الوصول,Zarqa,فيري سكسي ١٠٠,19,1٫75,yes,8/15/2024 2:10:34 AM,1
1384F,الدفع بعد الوصول,Amman,سكاندل ستاتي ١٠٠/مانسيرا ريد توباكو١٠٠/ مونت بلانك اكسبلور ٥٠/سكاندل رجالي٥٠,0,1٫5,yes,8/15/2024 2:10:34 AM,4
1385F,الدفع بعد الوصول,Amman,كريد افنتوس١٠٠/ جوتشي فلورا ١٠٠/ جوتشي بلوم ٥٠/الور سبورت ٥ج,34,1٫5,yes,8/15/2024 2:10:34 AM,4
1386F,الدفع بعد الوصول,Amman,فلانتينو اومو٥٠,10,1٫5,No,8/15/2024 2:10:34 AM,1
1387F,الدفع بعد الوصول,Amman,جوتشي فلورا ١٠٠/روز فانيلا ١٠٠/ انسولنس ٥٠/ ايلي صعب ٥٠,34,1٫5,No,8/15/2024 2:10:34 AM,4
1388F,الدفع بعد الوصول,Mafraq,تومي ناو١٠٠/ بلو شانيل ٥٠ عدد ٢/ ايروس٥٠/ ارماني كود ٥٠,36,1٫75,yes,8/15/2024 2:10:34 AM,5
1389F,الدفع بعد الوصول,South Aghwar,كريد افنتوس١٠٠/ سوفاج ١٠٠/بربري هيرو٥٠/ارماني كود ٥٠,34,1٫75,No,8/15/2024 2:10:34 AM,4
13810F,الدفع بعد الوصول,Zarqa,بلو شانيل ١٠٠ عدد خمسة ,2,1٫75,yes,8/15/2024 2:10:34 AM,5
13811F,الدفع بعد الوصول,Amman,هوجو بوس بوتلد ١٠٠,0,1٫5,yes,8/15/2024 2:10:34 AM,1
13812F,الدفع بعد الوصول,Amman,بلاك اوبيوم ١٠٠/بيربوي هير بلوسم ١٠٠/ ٢١٢ ستاتي٥٠/باكربون فيم ٥٠,34,1٫5,No,8/15/2024 2:10:34 AM,4
13813F,الدفع بعد الوصول,Amman,فرزاتشي بور هوم ١٠٠,19,1٫5,yes,8/15/2024 2:10:34 AM,1
13814F,الدفع بعد الوصول,Amman,ايروس١٠٠/دولتشي ذا ون ١٠٠/ لاكوست وايت ٥٠/بلو شانيل ٥٠,34,1٫5,yes,8/15/2024 2:10:34 AM,4
13815F,الدفع بعد الوصول,Madaba,اكوا جيو ٥٠,10,1٫75,No,8/15/2024 2:10:34 AM,1
13816F,الدفع بعد الوصول,Amman,اولمبيا ١٠٠,0,1٫5,yes,8/15/2024 2:10:34 AM,1
13817F,الدفع بعد الوصول,Amman,الين ١٠٠,19,1٫5,yes,8/15/2024 2:10:34 AM,1
13818F,الدفع بعد الوصول,Amman,كريد فايكنج ١٠٠,0,1٫5,No,8/15/2024 2:10:34 AM,1
13819F,الدفع بعد الوصول,Amman,كوكو مدموزيل١٠٠/ سوفاج الكسير ١٠٠/ايروس٥٠/بلو شانيل ٥٠,34,1٫5,yes,8/15/2024 2:10:34 AM,4
13820F,الدفع بعد الوصول,Amman,فندي فندي ١٠٠/ امبر ليذر ١٠٠/ارماني كود ٥٠/ سوفاج ٥٠/ ايروس بور فيم ١٠٠/لاكوست لوف اوف بينك ١٠٠/سكاندل ٥٠/ تريزو لانوت٥٠,68,1٫5,yes,8/15/2024 2:10:34 AM,8
13821F,الدفع بعد الوصول,Irbid,واي ١٠٠,0,1٫75,yes,8/15/2024 2:10:34 AM,1
13822F,الدفع بعد الوصول,Amman,ازارو وانتيد ١٠٠/فلانتينو اومو ٥٠/ جمتل مان جفنشي البيضه ١٠٠/ سي اتش رجالي٥٠,34,1٫5,yes,8/15/2024 2:10:34 AM,4
13823F,الدفع بعد الوصول,Amman,مس ديور١٠٠/ ليبر١٠٠/ليل ملكي ٥٠. / بكرات روج ٥٠,0,1٫5,No,8/15/2024 2:10:34 AM,4
13824F,الدفع بعد الوصول,Amman,برايت كريستال١٠٠/ انجل شيري ١٠٠/ فيري سكسي ٥٠/ديلينا ٥٠,34,1٫5,yes,8/15/2024 2:10:34 AM,4
13825F,الدفع بعد الوصول,Ajlun,دولسي دولتشي ستاتي الزهر ٥٠/فيري سكسي ٥٠,20,1٫75,yes,8/15/2024 2:10:34 AM,2
13826F,الدفع بعد الوصول,Zarqa,ارماني كود ١٠٠/ايروس١٠٠/ فيري سكسي ٥٠/ جفنشي ارستبل / ما تحط ستيكر الاسم,34,1٫75,yes,8/15/2024 2:10:34 AM,4
